part_id,part_name,supplier_name,module_group,main_module,module_name,torque_inf,specbook_number,specbook_filename,specbook_file_id
BIW30210147,FR_DR_INNER_PNL_LH,,DOORS_AND_CLOSURES,DOOR_FRONT,STRUCTURE_PARTS,,,,
BIW30210190,FR_DR_OTR_PNL_RH,,DOORS_AND_CLOSURES,DOOR_FRONT,FRONT DOOR STRUCT ASSY RH,,,,
BIW30210109,FR_DR_OTR_PNL_LH,,DOORS_AND_CLOSURES,DOOR_FRONT,FRONT DOOR STRUCT ASSY LH,,,,
BIW30001066,PANEL_FENDER_RH,,BODY_IN_WHITE,UPPER_BODY,FENDER,,,,
BIW30008701,PANEL_FENDER_BEV,,BODY_IN_WHITE,UPPER_BODY,FENDER,,,,
BIW30008762,PANEL_ROOF,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30008761,PANEL_SUNROOF,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009527,BODY_SIDE_OUTER_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009528,BODY_SIDE_OUTER_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009486,REAR_FLOOR_SKIN_EXTN,,BODY_IN_WHITE,UNDER_BODY,REAR_FLOOR,,,,
BIW30009471,REAR_FLOOR_SKIN,,BODY_IN_WHITE,UNDER_BODY,REAR_FLOOR,,,,
BIW30009346,PANEL_FRONT_FLOOR_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BIW30009345,PANEL_FRONT_FLOOR_LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BIW30008392,TUNNEL_PANEL_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BIW30008391,TUNNEL_PANEL_LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BIW30009461AA,PANEL_DASH_MIDDLE,,BODY_IN_WHITE,BODY_IN_WHITE,FRONT_BODY_SUBSYSTEMS,,,,
CON72000020,A41 - ANTIFLUTTER - 50 KG,,,,,,,,
BIW30009177,FNDR_REINF_CHARGING_PORT,,BODY_IN_WHITE,UPPER_BODY,FENDER,,,,
BIW30008707,ASSY_FENDER_BEV,,BODY_IN_WHITE,UPPER_BODY,FENDER,,,,
BIW30008707_JF,FENDER_BEV_JOINING_ASSEMBLY,,BODY_IN_WHITE,UPPER_BODY,FENDER,,,,
CON30000058,A11_A12_A32 FATIGUE ADHESIVE  STRUCTURAL GLUE 50L,,,,,,,,
BIW30009434AA,ROOF_CRUSH_PATCH_REAR_RH,,,,,,,,
BIW30009433AA,ROOF_CRUSH_PATCH_REAR_LH,,,,,,,,
BIW30009432AA,ROOF_CRUSH_PATCH_FRONT_RH,,,,,,,,
BIW30009431AA,ROOF_CRUSH_PATCH_FRONT_LH,,,,,,,,
STD90005003,SQUARE_WELD_NUT_14X14_M8X1.25_8_PW,"FACIL FASTENERS (CHANGSHU) CO.,LTD",BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
STD90002027,OPEN_RIVET_NUT_M6X1.0,"BOLLHOFF VIETNAM FASTENINGS TECHNOLOGY CO., LTD.",BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30001200,ASSY_PANEL_SUNROOF,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
STD90002027,OPEN_RIVET_NUT_M6X1.0,"BOLLHOFF VIETNAM FASTENINGS TECHNOLOGY CO., LTD.",BODY_IN_WHITE,UPPER_BODY,ROOF,N/A,,,
BIW30001200_JF,WELD_INFO_ASSY_PANEL_SUNROOF,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30001100,ASSY_PANO_ROOF_REINF,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30001100_JF,ASSY_PANO_ROOF_REINF_JOINING_FILE,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009432AA,ROOF_CRUSH_PATCH_FRONT_RH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009434AA,ROOF_CRUSH_PATCH_REAR_RH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009433AA,ROOF_CRUSH_PATCH_REAR_LH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009431AA,ROOF_CRUSH_PATCH_FRONT_LH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
STD90005003,SQUARE_WELD_NUT_14X14_M8X1.25_8_PW,"FACIL FASTENERS (CHANGSHU) CO.,LTD",BODY_IN_WHITE,UPPER_BODY,ROOF,N/A,,,
STD20000249,HEX_FLANGE_FACE_BOLT_M8X1.25X16_8.8,"FACIL FASTENERS (CHANGSHU) CO.,LTD",BODY_IN_WHITE,UPPER_BODY,ROOF,T S A 19 20.5 22,,,
COI30001496,COIL_DX51D_Z100_250_780,,,,,,,,
BLN30001760,SHA_DX51D_Z100_250_780_280,,,,,,,,
BIW30008677AB,FEM_MTG_SUPPORT_BRCKET_RH,,,,,,,,
BIN30027447,2SR_5SEATER _RSB_60P_BUCKLE_BRACKET_CTR_AND_LH,,,,,,,,
BLN30001687,BLANK_DC01_080_560_375,,,,,,,,
BIN30022774,FRONT_SEAT_CUSHION_HALF_PAN,,,,,,,,
BIN30028755,RSB_40P_BODY_MOUNT_OUTER_BRACKET_2SR_5SEATER,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30028776,RSB_60P_BODY_MOUNT_LOWER_INNER_BRACKET_5SEATER,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30028785,RSC_60P_CENTER_BUCKLE_MOUNTING_BRACKET,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30028687,2SR_5SEATER _RSB_60P_BODY_MOUNT_INNER_BRACKET,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30028753,RSB_40P_BODY_MOUNT_LOWER_INNER_BRACKET_5SEATER,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30028757,RSB_60P_BODY_MOUNT_OUTER_BRACKET_2SR_5SEATER,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30027015,2SR_5SEATER _RSB_40P_BODY_MOUNT_INNER_BRACKET,"XINGDA AUTOMOBILE DIES MANUFACTURING CO.,LTD",SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30028462,2SR_5SEATER _RSB_40P_SAB_MTD_BRACKET,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30028463,2SR_5SEATER _RSB_60P_SAB_MTD_BRACKET,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30027722,RSB_REINF_BRACKET_BOTTOM_RH,,INTERIOR,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30027723,RSB_REINF_BRACKET_BOTTOM_LH,,INTERIOR,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30027622,RSB_ARMREST_BRAKET_OB_60P,,INTERIOR,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BIN30027807,ECU_MTG_BRACKET,,INTERIOR,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BLN30001688,BLANK_DC01_70_700_510,,,,,,,,
BIN30028469,RSB_BACK_PANEL_40P_7SEATER,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BLN30001672,BLANK_DC01_70_700_810,,,,,,,,
BIN30028770,RSB_BACK_PANEL_60P,,SEATS_AND_RESTRAINTS,REAR_SEATS_2SR,REAR_SEATS_2SR,,,,
BLN30001584,BLANK_A5182-O_150_1420_1010,,,,,,,,
FRA11002128,RR_TOP_COVER,,BATTERY_PACK,BATTERY_PACK,CHASSIS,,,,
BLN30001686,BLANK_AL-5182_TIZR+E1_150_920_570,,,,,,,,
FRA11002127,FRT_TOP_COVER,,BATTERY_PACK,BATTERY_PACK,CHASSIS,,,,
BIW30009391,AVAS_SPKR_BRKT_FRT,,BODY_IN_WHITE,UNDER_BODY,PDUC,,,,
BIW30009374,AVAS_SPKR_BRKT_RR,,BODY_IN_WHITE,UNDER_BODY,PDUC,,,,
BIW30009393,REINF_ROOF_RAIL_SIDE_INNER_FRONT_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009392,REINF_ROOF_RAIL_SIDE_INNER_FRONT_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BLN30001301,BLANK_CR440Y780T_GI50/50_200_676_230,,,,,,,,
BIW30009422,SHOCKTOWER CONNECTION INR RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30009421,SHOCKTOWER CONNECTION INR LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30009353,ENGINE_FUSEBOX_SUPPORT_BRACKET_SIDE,,BODY_IN_WHITE,UNDER_BODY_PAINTED,PDUC,,,,
BIW30009334,ENGINE_FUSEBOX_SUPPORT_BRACKET_FRONT,,BODY_IN_WHITE,UNDER_BODY_PAINTED,PDUC,,,,
BIW30009262,CCB_UPR_MTG_BRKT_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30009126,BRACKET_WATERPUMP,,BODY_IN_WHITE,UPPER_BODY,PDUC,,,,
BIW30039002,TAILGATE_REINF_MIDDLE,,DOORS_AND_CLOSURES,LIFTGATE,TAILGATE INNER ASSY,,,,
BIW30009005,2ND_ROW_SEAT_MTG_REINF_MIDDLE,,BODY_IN_WHITE,UNDER_BODY,REAR_FLOOR,,,,
BIW30009011,2ND_ROW_SEAT_MTG_REINF_LH,,BODY_IN_WHITE,UNDER_BODY,REAR_FLOOR,,,,
BIW30009086,BLOCKING_PART_SEAT_CROSSMEMBER_TUNNEL,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BIW30009105,REINF_WINDSHIELD_OUTER_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30009104,REINF_WINDSHIELD_OUTER_LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30009097,DASH_BOARD_REINF_BAFFLE_INNER_LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30009215,DASH_BOARD_REINF_BAFFLE_INNER_MID,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30009214,DASH_BOARD_REINF_BAFFLE_INNER_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30210198,SUPPORT_FR_DR_BEAM_REAR_RH,,DOORS_AND_CLOSURES,DOOR_FRONT,FRONT DOOR IMPACT BEAM ASSY RH,,,,
BIW30210197,SUPPORT_FR_DR_BEAM_REAR_LH,,DOORS_AND_CLOSURES,DOOR_FRONT,FRONT DOOR IMPACT BEAM ASSY LH,,,,
BLN30001621,BLANK_CR440Y780T-DP_GI50/50_100_1200_270,,,,,,,,
BIW30009415,ADAPTER_ROOF_BOW_FRT,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
